sample_id,iou,f1,precision,recall,accuracy,dice
10378780_15,0.6026363372802734,0.752056360244751,0.8975570797920227,0.6471485495567322,0.9888128638267517,0.7520562410354614
10828720_15,0.4565703868865967,0.6269118785858154,0.7184829711914062,0.5560432076454163,0.9658871293067932,0.6269115209579468
11128870_15,0.6624894738197327,0.7969849705696106,0.8322299122810364,0.7646037936210632,0.9741564393043518,0.796984851360321
11278840_15,0.4962601959705353,0.6633344292640686,0.8809573650360107,0.5319309830665588,0.9599800109863281,0.6633340716362
11728825_15,0.6250015497207642,0.7692320942878723,0.8175067901611328,0.726340651512146,0.9867008924484253,0.7692319750785828
12328750_15,0.5828083157539368,0.7364232540130615,0.8473805785179138,0.6511591672897339,0.981252908706665,0.736423134803772
15928855_15,0.6307262182235718,0.773552656173706,0.8386386036872864,0.7178414463996887,0.9936586618423462,0.7735525369644165
16078870_15,0.731664776802063,0.8450421690940857,0.9029048085212708,0.7941489815711975,0.9967169165611267,0.8450420498847961
17878735_15,0.6567489504814148,0.7928166389465332,0.8296605944633484,0.7591056823730469,0.9978311061859131,0.7928165197372437
17878780_15,0.6280952095985413,0.7715707421302795,0.8729743361473083,0.6912730932235718,0.9917493462562561,0.77157062292099
17878885_15,0.6438764333724976,0.7833635807037354,0.809452474117279,0.7589037418365479,0.9739564657211304,0.7833635210990906
18028750_15,0.7013079524040222,0.8244339823722839,0.8292614817619324,0.8196621537208557,0.9971986413002014,0.8244338631629944
18178780_15,0.7103902101516724,0.830676257610321,0.8976276516914368,0.7730189561843872,0.9874061942100525,0.8306761980056763
18328735_15,0.6419971585273743,0.781971275806427,0.8281736373901367,0.7406513690948486,0.9860835671424866,0.7819710969924927
18328780_15,0.7057625651359558,0.8275039792060852,0.8665015697479248,0.7918652296066284,0.9932577610015869,0.8275038599967957
18328960_15,0.7380144000053406,0.8492617011070251,0.8600927591323853,0.8386997580528259,0.9858382344245911,0.8492615222930908
18478735_15,0.7072725892066956,0.8285409808158875,0.8371420502662659,0.8201147317886353,0.9888746738433838,0.8285409212112427
18478900_15,0.5669006109237671,0.7235950231552124,0.8436797857284546,0.633435070514679,0.9913337826728821,0.7235948443412781
18478930_15,0.7293452024459839,0.8434929847717285,0.8649082779884338,0.823112428188324,0.9856951236724854,0.843492865562439
20278885_15,0.5549776554107666,0.713808000087738,0.7238874435424805,0.7040051817893982,0.9876404404640198,0.7138078808784485
20728960_15,0.745293378829956,0.8540608882904053,0.8629564642906189,0.8453467488288879,0.9791350960731506,0.8540608286857605
20878930_15,0.6816712617874146,0.8107070326805115,0.8091264963150024,0.8122935891151428,0.9760093092918396,0.8107069134712219
21479035_15,0.5273957848548889,0.6905819773674011,0.8348701000213623,0.588817834854126,0.9913093447685242,0.6905816793441772
21779005_15,0.4973120391368866,0.6642733812332153,0.7615257501602173,0.5890472531318665,0.9811737537384033,0.6642730832099915
22078975_15,0.6313474178314209,0.774019718170166,0.7843611836433411,0.7639471292495728,0.9601448774337769,0.7740195989608765
22228900_15,0.5445363521575928,0.7051132321357727,0.7823054194450378,0.6417860984802246,0.984948456287384,0.7051129937171936
22229050_15,0.6593874096870422,0.7947361469268799,0.8603941202163696,0.7383882403373718,0.9763751029968262,0.7947359681129456
22528885_15,0.5655459761619568,0.7224906086921692,0.7600359916687012,0.6884797215461731,0.9774919748306274,0.7224904298782349
22529065_15,0.7003894448280334,0.8237990140914917,0.8301004767417908,0.817592203617096,0.9783573150634766,0.8237988948822021
23278915_15,0.6857033967971802,0.8135517239570618,0.8164466619491577,0.8106771111488342,0.9614400267601013,0.813551664352417
23278930_15,0.6396178603172302,0.7802037596702576,0.8206009268760681,0.7435970902442932,0.9485617876052856,0.7802035808563232
23428540_15,0.6436241269111633,0.7831768989562988,0.813154399394989,0.7553308606147766,0.9903675317764282,0.7831767797470093
23428810_15,0.612410843372345,0.7596215605735779,0.7909725308418274,0.7306606769561768,0.9905310869216919,0.7596213221549988
23429080_15,0.6660316586494446,0.7995427250862122,0.8583022952079773,0.7483128309249878,0.95005863904953,0.7995426058769226
23729020_15,0.35732927918434143,0.5265186429023743,0.6974469423294067,0.42287978529930115,0.9437488913536072,0.5265182256698608
23878540_15,0.618866503238678,0.7645679116249084,0.7514952421188354,0.7781030535697937,0.9817377924919128,0.7645676732063293
24029035_15,0.5431564450263977,0.703955352306366,0.7200559973716736,0.6885585784912109,0.9726911187171936,0.7039551138877869
24478825_15,0.646804928779602,0.7855271697044373,0.8158321976661682,0.7573927640914917,0.9697404503822327,0.7855270504951477
24478855_15,0.6162254810333252,0.762549102306366,0.8076515793800354,0.7222172617912292,0.9643151164054871,0.7625489234924316
24479170_15,0.6930049061775208,0.8186686635017395,0.8649626970291138,0.7770780920982361,0.9775999784469604,0.8186684846878052
24479215_15,0.5959773063659668,0.746849536895752,0.7652646899223328,0.7292995452880859,0.9729849100112915,0.7468493580818176
24628885_15,0.5738404393196106,0.729223370552063,0.8389064073562622,0.6449047327041626,0.9642688632011414,0.7292231321334839
24629200_15,0.6623043417930603,0.7968509793281555,0.7928999066352844,0.8008414506912231,0.9714435338973999,0.7968509197235107
24779275_15,0.6807376742362976,0.8100464344024658,0.8544629812240601,0.7700192332267761,0.9915595650672913,0.8100463151931763
25079170_15,0.6054949760437012,0.7542784214019775,0.7995820045471191,0.7138329744338989,0.9790617823600769,0.7542782425880432
26278720_15,0.4540092945098877,0.6244933009147644,0.7503844499588013,0.5347742438316345,0.9822662472724915,0.6244930028915405
26428735_15,0.6574934124946594,0.7933588027954102,0.8214510083198547,0.7671242952346802,0.987592875957489,0.7933586835861206
26578720_15,0.551500678062439,0.7109256386756897,0.8007915616035461,0.639194130897522,0.9812048673629761,0.7109254598617554
26878690_15,0.7005558609962463,0.8239140510559082,0.8700554370880127,0.7824200391769409,0.9930804371833801,0.8239139318466187
