sample_id,iou,f1,precision,recall,accuracy,dice
10378780_15,0.649296224117279,0.7873616218566895,0.869452953338623,0.7194344401359558,0.989812433719635,0.7873615622520447
10828720_15,0.485862672328949,0.6539808511734009,0.6760839819908142,0.6332767009735107,0.9654591083526611,0.653980553150177
11128870_15,0.686881422996521,0.8143802881240845,0.7994746565818787,0.8298521041870117,0.9749022126197815,0.8143801689147949
11278840_15,0.5740891695022583,0.7294241189956665,0.8062446117401123,0.6659690737724304,0.963379979133606,0.729423999786377
11728825_15,0.6427262425422668,0.7825117707252502,0.7641188502311707,0.8018117547035217,0.9863986372947693,0.7825116515159607
12328750_15,0.6122677326202393,0.7595113515853882,0.8273293375968933,0.7019692063331604,0.9821208715438843,0.7595112323760986
15928855_15,0.6753482818603516,0.8062184453010559,0.8498400449752808,0.7668561935424805,0.9944377541542053,0.8062183260917664
16078870_15,0.7313313484191895,0.8448197245597839,0.8595560789108276,0.8305799961090088,0.9965604543685913,0.8448196053504944
17878735_15,0.6429211497306824,0.7826562523841858,0.8090072870254517,0.757967472076416,0.9976986646652222,0.7826561331748962
17878780_15,0.6056320071220398,0.7543847560882568,0.7670639753341675,0.7421175837516785,0.9902591109275818,0.7543845772743225
17878885_15,0.667617917060852,0.8006845712661743,0.7723354697227478,0.8311939239501953,0.9743239879608154,0.8006845116615295
18028750_15,0.7298816442489624,0.8438516855239868,0.8126057982444763,0.8775962591171265,0.997393786907196,0.8438515067100525
18178780_15,0.7445583939552307,0.8535782098770142,0.8848963975906372,0.8244008421897888,0.988697350025177,0.8535780906677246
18328735_15,0.6520224213600159,0.7893627285957336,0.8179657459259033,0.762692391872406,0.9862849116325378,0.7893626689910889
18328780_15,0.7182013392448425,0.835992157459259,0.8666293025016785,0.807447075843811,0.9935297966003418,0.8359920978546143
18328960_15,0.7388284206390381,0.8498004078865051,0.8317289352416992,0.8686743378639221,0.985393762588501,0.8498002886772156
18478735_15,0.7005082964897156,0.823881208896637,0.8145350217819214,0.8334440588951111,0.9883208870887756,0.8238810896873474
18478900_15,0.5495510697364807,0.7093037962913513,0.7676212787628174,0.6592212319374084,0.990323543548584,0.7093035578727722
18478930_15,0.7330172657966614,0.8459435701370239,0.8366047739982605,0.8554929494857788,0.9854075312614441,0.8459434509277344
20278885_15,0.5756068229675293,0.7306479215621948,0.6929687261581421,0.7726598978042603,0.9875275492668152,0.7306478023529053
20728960_15,0.7728918194770813,0.8718996644020081,0.8561615943908691,0.8882269859313965,0.981150209903717,0.8718996047973633
20878930_15,0.6938267350196838,0.8192417621612549,0.7979481220245361,0.8417028784751892,0.9765089154243469,0.8192417025566101
21479035_15,0.5617022514343262,0.7193463444709778,0.7884138822555542,0.6614047884941101,0.9914995431900024,0.7193461060523987
21779005_15,0.5274394154548645,0.6906193494796753,0.7274042367935181,0.6573753952980042,0.9813773036003113,0.6906191110610962
22078975_15,0.6447687149047852,0.7840237021446228,0.7772812843322754,0.7908838391304016,0.9610693454742432,0.7840235233306885
22228900_15,0.552656352519989,0.7118852138519287,0.7711966037750244,0.6610448956489563,0.9849969148635864,0.7118849754333496
22229050_15,0.6706731915473938,0.8028779625892639,0.8299251198768616,0.7775378227233887,0.9763515591621399,0.8028777837753296
22528885_15,0.6051542162895203,0.7540138959884644,0.7479014992713928,0.760226845741272,0.9788906574249268,0.7540137767791748
22529065_15,0.7209758162498474,0.8378686904907227,0.8162171244621277,0.8607001304626465,0.9793875813484192,0.8378686308860779
23278915_15,0.6888813376426697,0.8157843351364136,0.7836939692497253,0.850614607334137,0.9601342082023621,0.8157841563224792
23278930_15,0.6631572842597961,0.7974680662155151,0.778427004814148,0.817463755607605,0.9490217566490173,0.7974679470062256
23428540_15,0.6557862758636475,0.7921147346496582,0.7772412300109863,0.807568371295929,0.9902373552322388,0.7921146154403687
23428810_15,0.6443699598312378,0.7837287783622742,0.800122082233429,0.7679935693740845,0.9913209080696106,0.7837287187576294
23429080_15,0.6764332056045532,0.8069911003112793,0.8350948691368103,0.7807170748710632,0.950295090675354,0.8069909811019897
23729020_15,0.4196043610572815,0.5911571383476257,0.6702929139137268,0.5287334322929382,0.9459102153778076,0.5911567807197571
23878540_15,0.669497013092041,0.8020345568656921,0.7677466869354248,0.8395279049873352,0.9842057824134827,0.8020344376564026
