sample_id,iou,f1,precision,recall,accuracy,dice
10378780_15,0.6507112383842468,0.788401186466217,0.7951989769935608,0.7817183136940002,0.9889991283416748,0.7884010672569275
10828720_15,0.5230748653411865,0.6868671774864197,0.6668967604637146,0.7080699801445007,0.9667235612869263,0.6868669390678406
11128870_15,0.6826136112213135,0.8113730549812317,0.752993643283844,0.8795653581619263,0.9728675484657288,0.8113729953765869
11278840_15,0.5808371305465698,0.7348477840423584,0.7418229579925537,0.72800213098526,0.9610608816146851,0.7348475456237793
11728825_15,0.6539430022239685,0.790768563747406,0.7471044063568115,0.8398531675338745,0.9864373207092285,0.7907684445381165
12328750_15,0.592205822467804,0.743881106376648,0.7496577501296997,0.7381925582885742,0.9795555472373962,0.7438809871673584
15928855_15,0.6520896553993225,0.7894120812416077,0.7671419382095337,0.8130136132240295,0.9934551119804382,0.7894119620323181
16078870_15,0.6533294320106506,0.7903198599815369,0.7210822701454163,0.8742656707763672,0.9947706460952759,0.7903196811676025
17878735_15,0.6095529198646545,0.7574191093444824,0.6987016797065735,0.8269105553627014,0.9971044659614563,0.7574189305305481
17878780_15,0.6059950590133667,0.7546663284301758,0.7494075298309326,0.7599990963935852,0.9900395274162292,0.7546661496162415
17878885_15,0.6615222692489624,0.7962846755981445,0.7350800037384033,0.8686069250106812,0.9724244475364685,0.796284556388855
18028750_15,0.7258273363113403,0.8411356210708618,0.7893918752670288,0.9001384377479553,0.9972715377807617,0.8411355018615723
18178780_15,0.7040629982948303,0.8263345956802368,0.8343253135681152,0.8184952735900879,0.9862515330314636,0.8263344764709473
18328735_15,0.5994153618812561,0.7495432496070862,0.724576473236084,0.7762916684150696,0.9825195670127869,0.7495431303977966
18328780_15,0.716876745223999,0.8350940942764282,0.8039472103118896,0.8687515258789062,0.9929928779602051,0.8350940346717834
18328960_15,0.7137123346328735,0.8329430818557739,0.7823231816291809,0.8905665874481201,0.9830080270767212,0.8329429626464844
18478735_15,0.6589169502258301,0.7943942546844482,0.7270740866661072,0.8754525780677795,0.9851466417312622,0.7943941354751587
18478900_15,0.5862025618553162,0.7391271591186523,0.7907674312591553,0.6938177943229675,0.9912293553352356,0.739126980304718
18478930_15,0.709587812423706,0.8301274180412292,0.779880702495575,0.8872945308685303,0.9829933047294617,0.8301273584365845
20278885_15,0.5779799818992615,0.732556939125061,0.6505940556526184,0.8381478190422058,0.9866013526916504,0.7325568199157715
20728960_15,0.7459100484848022,0.854465663433075,0.7976332902908325,0.9200179576873779,0.9773657917976379,0.8544656038284302
20878930_15,0.6865692734718323,0.8141608834266663,0.7525479793548584,0.8867619633674622,0.9743968844413757,0.8141607642173767
21479035_15,0.5774065852165222,0.732096254825592,0.7185510396957397,0.7461615204811096,0.9910053610801697,0.7320960760116577
21779005_15,0.5186049938201904,0.6830021142959595,0.664711058139801,0.7023277282714844,0.9793866872787476,0.6830018162727356
22078975_15,0.6427288055419922,0.7825136184692383,0.7285244464874268,0.8451451659202576,0.958026647567749,0.7825135588645935
22228900_15,0.5357713103294373,0.6977230310440063,0.6525464653968811,0.7496196031570435,0.9817879796028137,0.6977227926254272
22229050_15,0.6340159773826599,0.7760219573974609,0.7221601009368896,0.838565468788147,0.9700177907943726,0.7760217785835266
22528885_15,0.5902883410453796,0.7423664927482605,0.6869148015975952,0.8075569272041321,0.9761462211608887,0.7423664331436157
22529065_15,0.6709807515144348,0.803098201751709,0.7394299507141113,0.8787634968757629,0.9733350872993469,0.8030981421470642
23278915_15,0.6728746294975281,0.8044532537460327,0.739001989364624,0.8826245069503784,0.9554710984230042,0.8044531345367432
23278930_15,0.6526287794113159,0.7898069620132446,0.7408076524734497,0.8457469940185547,0.9447320103645325,0.7898068428039551
23428540_15,0.6120691895484924,0.7593587040901184,0.6940122246742249,0.8382894992828369,0.9877631068229675,0.7593584656715393
23428810_15,0.5626968145370483,0.7201613783836365,0.6454298496246338,0.8144643306732178,0.9870390892028809,0.7201611995697021
