sample_id,iou,f1,precision,recall,accuracy,dice
10378780_15,0.6758612394332886,0.8065838813781738,0.862280547618866,0.7576456069946289,0.9904738068580627,0.8065837621688843
10828720_15,0.4982129633426666,0.6650766134262085,0.7153293490409851,0.6214205026626587,0.967739999294281,0.6650763154029846
11128870_15,0.6769452095031738,0.8073552846908569,0.8110309839248657,0.8037126064300537,0.9745533466339111,0.8073551654815674
11278840_15,0.5764985680580139,0.731365978717804,0.8279626369476318,0.65495365858078,0.9643391370773315,0.7313657999038696
11728825_15,0.6841133236885071,0.8124315738677979,0.8156635165214539,0.8092249035835266,0.9885973334312439,0.8124314546585083
12328750_15,0.6164920926094055,0.7627530694007874,0.8353899121284485,0.701737105846405,0.9824426770210266,0.7627530097961426
15928855_15,0.6689016222953796,0.8016071319580078,0.8466529250144958,0.7611122727394104,0.9943155646324158,0.8016070127487183
16078870_15,0.7492485642433167,0.8566519618034363,0.8582452535629272,0.8550644516944885,0.9967741966247559,0.8566519021987915
17878735_15,0.6447665691375732,0.7840220928192139,0.8610057234764099,0.719674825668335,0.9978324174880981,0.7840219736099243
17878780_15,0.5844119787216187,0.7377021908760071,0.7848988771438599,0.6958592534065247,0.9900253415107727,0.7377020716667175
17878885_15,0.6785590648651123,0.8085019588470459,0.8022610545158386,0.81484055519104,0.9760501980781555,0.8085018396377563
18028750_15,0.7182254195213318,0.8360084295272827,0.8110191226005554,0.8625865578651428,0.997284471988678,0.8360083699226379
18178780_15,0.7262329459190369,0.8414078950881958,0.8942650556564331,0.7944503426551819,0.9880319833755493,0.841407835483551
18328735_15,0.6739473938941956,0.8052194714546204,0.8573833703994751,0.7590386867523193,0.9876266717910767,0.8052193522453308
18328780_15,0.7149081826210022,0.8337569236755371,0.8749581575393677,0.7962612509727478,0.993515133857727,0.8337568044662476
18328960_15,0.7443157434463501,0.8534186482429504,0.8465265035629272,0.8604238033294678,0.9859408736228943,0.8534185886383057
18478735_15,0.7006245851516724,0.8239615559577942,0.8250312805175781,0.8228945136070251,0.9884750843048096,0.8239614963531494
18478900_15,0.5931104421615601,0.744594395160675,0.7964486479759216,0.6990792155265808,0.991411566734314,0.7445942163467407
18478930_15,0.7333092093467712,0.8461378812789917,0.8462823629379272,0.8459932208061218,0.9855911135673523,0.8461377620697021
20278885_15,0.5906344056129456,0.7426401972770691,0.7664722204208374,0.7202452421188354,0.9890706539154053,0.7426400780677795
20728960_15,0.7673108577728271,0.8683372139930725,0.8664007782936096,0.8702822923660278,0.9809395670890808,0.8683372139930725
20878930_15,0.704020619392395,0.8263053297996521,0.8263255953788757,0.8262849450111389,0.9780297875404358,0.8263052701950073
21479035_15,0.574262261390686,0.7295638918876648,0.8083004951477051,0.6648047566413879,0.9918822050094604,0.7295636534690857
21779005_15,0.5089641809463501,0.6745877861976624,0.7470712661743164,0.6149250864982605,0.981241762638092,0.6745874881744385
22078975_15,0.6480698585510254,0.7864593863487244,0.7988168597221375,0.7744780778884888,0.96242356300354,0.78645920753479
22228900_15,0.5546178221702576,0.7135103344917297,0.7567082643508911,0.6749777793884277,0.9848017692565918,0.7135101556777954
22229050_15,0.6648136377334595,0.7986645102500916,0.8411033749580383,0.7603022456169128,0.9762569069862366,0.7986643314361572
22528885_15,0.6023964285850525,0.7518696188926697,0.7534503936767578,0.7502950429916382,0.9789248704910278,0.7518693804740906
22529065_15,0.7143511176109314,0.8333779573440552,0.8263024687767029,0.8405754566192627,0.9792004227638245,0.8333778381347656
23278915_15,0.6816741824150085,0.8107090592384338,0.7929850816726685,0.8292432427406311,0.9598150849342346,0.8107089400291443
23278930_15,0.6645258069038391,0.7984567880630493,0.8040562272071838,0.7929344177246094,0.9508537650108337,0.798456609249115
23428540_15,0.7016777992248535,0.824689507484436,0.8182353377342224,0.831246018409729,0.9918604493141174,0.8246893882751465
23428810_15,0.6413660049438477,0.781502902507782,0.8147432804107666,0.7508682012557983,0.9914026856422424,0.7815027236938477
23429080_15,0.6788545250892639,0.808711588382721,0.8583484888076782,0.7645015716552734,0.9518640041351318,0.8087115287780762
23729020_15,0.398477703332901,0.5698738694190979,0.7050422430038452,0.47819527983665466,0.9466115832328796,0.5698735117912292
23878540_15,0.6734296679496765,0.8048498630523682,0.7840097546577454,0.8268277645111084,0.9847195744514465,0.8048496842384338
24029035_15,0.5574844479560852,0.7158781886100769,0.7016808390617371,0.7306615710258484,0.9726515412330627,0.7158780097961426
24478825_15,0.6658409833908081,0.7994052767753601,0.8228530287742615,0.7772567272186279,0.9714604616165161,0.7994052171707153
24478855_15,0.6270621418952942,0.7707908153533936,0.8094289898872375,0.7356730699539185,0.9652870893478394,0.7707906365394592
24479170_15,0.7021554708480835,0.8250192999839783,0.8520566821098328,0.7996448278427124,0.9779279828071594,0.8250191807746887
24479215_15,0.6175572276115417,0.7635678648948669,0.7811375260353088,0.7467708587646484,0.9747301936149597,0.7635676860809326
24628885_15,0.6140561699867249,0.7608858942985535,0.8207270503044128,0.7091777920722961,0.9667462110519409,0.7608857750892639
24629200_15,0.6738170385360718,0.805126428604126,0.7977105975151062,0.8126811385154724,0.9724875688552856,0.8051263093948364
24779275_15,0.6966903209686279,0.8212345838546753,0.844763457775116,0.798980712890625,0.9918702244758606,0.8212345242500305
25079170_15,0.6541697978973389,0.7909344434738159,0.7976806163787842,0.7843011617660522,0.9813337922096252,0.7909343242645264
26278720_15,0.4853280484676361,0.6534964442253113,0.7328138947486877,0.5896716713905334,0.9827569127082825,0.6534961462020874
26428735_15,0.7010900378227234,0.8242834806442261,0.8245548605918884,0.8240119218826294,0.9890924692153931,0.8242833018302917
26578720_15,0.5666903853416443,0.7234237790107727,0.7776662707328796,0.676254391670227,0.9813035726547241,0.7234235405921936
26878690_15,0.7050471901893616,0.8270121216773987,0.8393990993499756,0.8149850964546204,0.9929457902908325,0.8270119428634644
