sample_id,iou,f1,precision,recall,accuracy,dice
10378780_15,0.6792700886726379,0.8090064525604248,0.8625813722610474,0.7616972923278809,0.9905710816383362,0.80900639295578
10828720_15,0.45788219571113586,0.6281473636627197,0.5907657742500305,0.6705784797668457,0.9590773582458496,0.6281470060348511
11128870_15,0.6893024444580078,0.8160794973373413,0.811928927898407,0.8202725052833557,0.975470244884491,0.8160793781280518
11278840_15,0.5598312020301819,0.7178101539611816,0.8258875012397766,0.634745717048645,0.963009774684906,0.7178099751472473
11728825_15,0.6629821062088013,0.7973413467407227,0.8192517757415771,0.7765721678733826,0.9879533052444458,0.7973412275314331
12328750_15,0.6087096333503723,0.756767749786377,0.8390147686004639,0.6892058849334717,0.9821813106536865,0.7567675709724426
15928855_15,0.593085527420044,0.7445748448371887,0.7297694683074951,0.7599929571151733,0.9921324253082275,0.7445746064186096
16078870_15,0.7509549260139465,0.8577662110328674,0.8709965944290161,0.8449316024780273,0.996841311454773,0.8577661514282227
17878735_15,0.5787837505340576,0.7332022190093994,0.7110771536827087,0.7567479610443115,0.9969893097877502,0.7332020401954651
17878780_15,0.6000938415527344,0.7500734925270081,0.8010920882225037,0.705163836479187,0.9905275702476501,0.7500733137130737
17878885_15,0.6607815623283386,0.7957478761672974,0.7725663185119629,0.8203633427619934,0.973869800567627,0.795747697353363
18028750_15,0.7162896394729614,0.8346956968307495,0.8161418437957764,0.854112446308136,0.9972853064537048,0.8346955180168152
18178780_15,0.7355461716651917,0.8476251363754272,0.8772310018539429,0.8199521899223328,0.9882190823554993,0.8476250171661377
18328735_15,0.667648196220398,0.8007063865661621,0.8320840001106262,0.7716090679168701,0.9870578050613403,0.8007062673568726
18328780_15,0.7253234386444092,0.8407971858978271,0.8601575493812561,0.8222889304161072,0.9936404228210449,0.8407970666885376
18328960_15,0.7448779940605164,0.8537881970405579,0.8404003977775574,0.8676091432571411,0.9858653545379639,0.8537880778312683
18478735_15,0.6997906565666199,0.8233845829963684,0.8045835494995117,0.8430851697921753,0.9881453514099121,0.8233845233917236
18478900_15,0.5937371253967285,0.7450880408287048,0.824693500995636,0.6794976592063904,0.9916737675666809,0.7450879216194153
18478930_15,0.7377375364303589,0.8490782976150513,0.8467382788658142,0.851431131362915,0.9858248829841614,0.8490782380104065
20278885_15,0.5978235006332397,0.7482975125312805,0.7282560467720032,0.7694728374481201,0.9886666536331177,0.7482973337173462
20728960_15,0.765532910823822,0.8671976923942566,0.8510739207267761,0.8839439153671265,0.9804471135139465,0.867197573184967
20878930_15,0.6947248578071594,0.8198675513267517,0.8078137636184692,0.8322862386703491,0.9768697619438171,0.8198674321174622
21479035_15,0.5547208189964294,0.7135955691337585,0.7916790246963501,0.6495318412780762,0.9914124608039856,0.7135953903198242
21779005_15,0.5167037844657898,0.6813511848449707,0.767409086227417,0.6126479506492615,0.981881320476532,0.6813510060310364
22078975_15,0.6458120942115784,0.7847945690155029,0.7662352323532104,0.8042750358581543,0.9605902433395386,0.7847944498062134
22228900_15,0.5605484247207642,0.7183994650840759,0.7584524154663086,0.6823643445968628,0.9850004315376282,0.7183992862701416
22229050_15,0.6681040525436401,0.8010342121124268,0.8302804827690125,0.7737778425216675,0.9761911034584045,0.8010340332984924
22528885_15,0.600013017654419,0.7500103712081909,0.7299977540969849,0.7711507678031921,0.9781226515769958,0.7500101327896118
22529065_15,0.7139257192611694,0.8330883979797363,0.8053946495056152,0.862754225730896,0.9786071181297302,0.8330882787704468
23278915_15,0.6839116811752319,0.8122893571853638,0.7815735340118408,0.8455179929733276,0.9594475626945496,0.8122892379760742
23278930_15,0.6469830870628357,0.7856585383415222,0.780168890953064,0.791225790977478,0.9469959735870361,0.7856584191322327
23428540_15,0.6850724220275879,0.8131074905395508,0.8232141733169556,0.8032457828521729,0.9914955496788025,0.8131073713302612
23428810_15,0.6195976734161377,0.765125572681427,0.7941986918449402,0.7381055951118469,0.9907208681106567,0.7651254534721375
23429080_15,0.6782345175743103,0.8082715272903442,0.8420081734657288,0.7771340608596802,0.9509293437004089,0.8082714676856995
23729020_15,0.3984902799129486,0.5698868036270142,0.6776314973831177,0.49170416593551636,0.9451062083244324,0.5698863863945007
23878540_15,0.6684624552726746,0.8012916445732117,0.7677913308143616,0.8378485441207886,0.9841635823249817,0.8012915849685669
24029035_15,0.5593342781066895,0.7174015641212463,0.6693274974822998,0.7729153633117676,0.9712862372398376,0.717401385307312
24478825_15,0.6640378832817078,0.7981044054031372,0.8045230507850647,0.7917871475219727,0.9706906676292419,0.7981042861938477
24478855_15,0.6322100162506104,0.7746676206588745,0.7944568991661072,0.755840003490448,0.9651142358779907,0.774667501449585
24479170_15,0.7009821534156799,0.8242088556289673,0.8382014632225037,0.8106755018234253,0.9774977564811707,0.8242087364196777
24479215_15,0.611928403377533,0.7592502236366272,0.763379693031311,0.7551649808883667,0.9738315343856812,0.7592501044273376
24628885_15,0.6018902659416199,0.7514751553535461,0.8210986852645874,0.6927356719970703,0.9658160209655762,0.7514750361442566
24629200_15,0.6593105792999268,0.7946802377700806,0.7631255388259888,0.8289567232131958,0.9700435400009155,0.794680118560791
24779275_15,0.7029016613960266,0.8255341053009033,0.8438729047775269,0.8079753518104553,0.9920182228088379,0.8255340456962585
25079170_15,0.6456959247589111,0.7847087383270264,0.7714525461196899,0.7984283566474915,0.9802764654159546,0.7847086787223816
26278720_15,0.5277625322341919,0.6908962726593018,0.7170648574829102,0.6665699481964111,0.9835533499717712,0.6908960342407227
26428735_15,0.679024338722229,0.8088321089744568,0.7963541150093079,0.8217071890830994,0.9879404306411743,0.808832049369812
26578720_15,0.5898160338401794,0.7419928908348083,0.7954797744750977,0.6952454447746277,0.9825177788734436,0.7419928312301636
26878690_15,0.7185956239700317,0.836259126663208,0.8480618596076965,0.8247803449630737,0.9933173060417175,0.8362590670585632
